disk_idx,hole_idx,side,x_m,y_m,z_m
0,1,dist,0.0,0.01,0.0
0,2,dist,0.0,0.01,0.0
0,3,dist,0.0,0.01,0.0
0,4,dist,0.0,0.01,0.0
0,5,dist,0.0,0.01,0.0
0,6,dist,0.0,0.01,0.0
0,7,dist,0.0,0.01,0.0
0,8,dist,0.0,0.01,0.0
0,9,dist,0.0,0.01,0.0
0,10,dist,0.0,0.01,0.0
0,11,dist,0.0,0.01,0.0
0,12,dist,0.0,0.01,0.0
1,1,prox,0.0,0.01,0.0
1,1,dist,0.0,0.01,0.0
1,2,prox,0.0,0.01,0.0
1,2,dist,0.0,0.01,0.0
1,3,prox,0.0,0.01,0.0
1,3,dist,0.0,0.01,0.0
1,4,prox,0.0,0.01,0.0
1,4,dist,0.0,0.01,0.0
1,5,prox,0.0,0.01,0.0
1,5,dist,0.0,0.01,0.0
1,6,prox,0.0,0.01,0.0
1,6,dist,0.0,0.01,0.0
1,7,prox,0.0,0.01,0.0
1,7,dist,0.0,0.01,0.0
1,8,prox,0.0,0.01,0.0
1,8,dist,0.0,0.01,0.0
1,9,prox,0.0,0.01,0.0
1,9,dist,0.0,0.01,0.0
1,10,prox,0.0,0.01,0.0
1,10,dist,0.0,0.01,0.0
1,11,prox,0.0,0.01,0.0
1,11,dist,0.0,0.01,0.0
1,12,prox,0.0,0.01,0.0
1,12,dist,0.0,0.01,0.0

