disk_idx,E_pa,Iz_m4
1,3.0e10,1.0e-10
2,3.0e10,1.0e-10
3,3.0e10,1.0e-10
4,3.0e10,1.0e-10
5,3.0e10,1.0e-10
6,3.0e10,1.0e-10
7,3.0e10,1.0e-10
8,3.0e10,1.0e-10
9,3.0e10,1.0e-10
10,3.0e10,1.0e-10
11,3.0e10,1.0e-10
12,3.0e10,1.0e-10
13,3.0e10,1.0e-10
14,3.0e10,1.0e-10
15,3.0e10,1.0e-10
16,3.0e10,1.0e-10
17,3.0e10,1.0e-10
18,3.0e10,1.0e-10
19,3.0e10,1.0e-10
20,3.0e10,1.0e-10
21,3.0e10,1.0e-10
22,3.0e10,1.0e-10
23,3.0e10,1.0e-10
24,3.0e10,1.0e-10
25,3.0e10,1.0e-10
26,3.0e10,1.0e-10
27,3.0e10,1.0e-10
28,3.0e10,1.0e-10
29,3.0e10,1.0e-10
30,3.0e10,1.0e-10

