disk_idx,mass_kg,com_x_m,com_y_m,com_z_m
1,0.125,0.011260999999999998,0.000601,0.000754
2,0.125,0.011260999999999998,0.000601,0.000754
3,0.125,0.011260999999999998,0.000601,0.000754
4,0.125,0.011260999999999998,0.000601,0.000754
5,0.125,0.011260999999999998,0.000601,0.000754
6,0.125,0.011260999999999998,0.000601,0.000754
7,0.125,0.011260999999999998,0.000601,0.000754
8,0.125,0.011260999999999998,0.000601,0.000754
9,0.125,0.011260999999999998,0.000601,0.000754
10,0.125,0.011260999999999998,0.000601,0.000754
11,0.125,0.011260999999999998,0.000601,0.000754
12,0.125,0.011260999999999998,0.000601,0.000754
13,0.125,0.011260999999999998,0.000601,0.000754
14,0.125,0.011260999999999998,0.000601,0.000754
15,0.125,0.011260999999999998,0.000601,0.000754
16,0.125,0.011260999999999998,0.000601,0.000754
17,0.125,0.011260999999999998,0.000601,0.000754
18,0.125,0.011260999999999998,0.000601,0.000754
19,0.125,0.011260999999999998,0.000601,0.000754
20,0.125,0.011260999999999998,0.000601,0.000754
21,0.125,0.011260999999999998,0.000601,0.000754
22,0.125,0.011260999999999998,0.000601,0.000754
23,0.125,0.011260999999999998,0.000601,0.000754
24,0.125,0.011260999999999998,0.000601,0.000754
25,0.125,0.011260999999999998,0.000601,0.000754
26,0.125,0.011260999999999998,0.000601,0.000754
27,0.125,0.011260999999999998,0.000601,0.000754
28,0.125,0.011260999999999998,0.000601,0.000754
29,0.125,0.011260999999999998,0.000601,0.000754
30,0.125,0.011260999999999998,0.000601,0.000754
