disk_idx,hole_idx,side,x_m,y_m,z_m
0,1,dist,-0.00928188,0.019918584,-0.0115
0,2,dist,-0.00928188,0.019918584,0.0115
0,11,dist,-0.00928188,-0.019918584,-0.0115
0,12,dist,-0.00928188,-0.019918584,0.0115
0,3,dist,-0.007583774,0.016263456000000003,-0.016263456000000003
0,4,dist,-0.007583774,0.016263456000000003,0.016263456000000003
0,9,dist,-0.007583774,-0.016263456000000003,-0.016263456000000003
0,10,dist,-0.007583774,-0.016263456000000003,0.016263456000000003
0,5,dist,-0.005362538,0.0115,0.019918584
0,6,dist,-0.005362538,0.0115,-0.019918584
0,7,dist,-0.005362538,-0.0115,0.019918584
0,8,dist,-0.005362538,-0.0115,-0.019918584
1,1,prox,0.007275,0.019986999999999998,-0.0115
1,1,dist,0.035789,0.019986999999999998,-0.0115
1,2,prox,0.007275,0.019986999999999998,0.0115
1,2,dist,0.035789,0.019986999999999998,0.0115
1,11,prox,0.007275,-0.019986999999999998,-0.0115
1,11,dist,0.035789,-0.019986999999999998,-0.0115
1,12,prox,0.007275,-0.019986999999999998,0.0115
1,12,dist,0.035789,-0.019986999999999998,0.0115
1,3,prox,0.005944311,0.016263456000000003,-0.016263456000000003
1,3,dist,0.034080585999999996,0.016263456000000003,-0.016263456000000003
1,4,prox,0.005944311,0.016263456000000003,0.016263456000000003
1,4,dist,0.034080585999999996,0.016263456000000003,0.016263456000000003
1,9,prox,0.005944311,-0.016263456000000003,-0.016263456000000003
1,9,dist,0.034080585999999996,-0.016263456000000003,-0.016263456000000003
1,10,prox,0.005944311,-0.016263456000000003,0.016263456000000003
1,10,dist,0.034080585999999996,-0.016263456000000003,0.016263456000000003
1,5,prox,0.004210555,0.0115,-0.019918584
1,5,dist,0.032725330999999996,0.0115,-0.019918584
1,6,prox,0.004210555,0.0115,0.019918584
1,6,dist,0.032725330999999996,0.0115,0.019918584
1,7,prox,0.004210555,-0.0115,-0.019918584
1,7,dist,0.032725330999999996,-0.0115,-0.019918584
1,8,prox,0.004210555,-0.0115,0.019918584
1,8,dist,0.032725330999999996,-0.0115,0.019918584
2,1,prox,0.004211,0.011568,0.019919
2,1,dist,0.032725000000000004,0.011568,0.019919
2,2,prox,0.004211,-0.011568,0.019919
2,2,dist,0.032725000000000004,-0.011568,0.019919
2,11,prox,0.004211,0.011568,-0.019919
2,11,dist,0.032725000000000004,0.011568,-0.019919
2,12,prox,0.004211,-0.011568,-0.019919
2,12,dist,0.032725000000000004,-0.011568,-0.019919
2,3,prox,0.002880311,0.016263456000000003,0.016263456000000003
2,3,dist,0.031016585999999995,0.016263456000000003,0.016263456000000003
2,4,prox,0.002880311,-0.016263456000000003,0.016263456000000003
2,4,dist,0.031016585999999995,-0.016263456000000003,0.016263456000000003
2,9,prox,0.002880311,0.016263456000000003,-0.016263456000000003
2,9,dist,0.031016585999999995,0.016263456000000003,-0.016263456000000003
2,10,prox,0.002880311,-0.016263456000000003,-0.016263456000000003
2,10,dist,0.031016585999999995,-0.016263456000000003,-0.016263456000000003
2,5,prox,0.0011465550000000003,0.019918584,0.0115
2,5,dist,0.029661330999999996,0.019918584,0.0115
2,6,prox,0.0011465550000000003,-0.019918584,0.0115
2,6,dist,0.029661330999999996,-0.019918584,0.0115
2,7,prox,0.0011465550000000003,0.019918584,-0.0115
2,7,dist,0.029661330999999996,0.019918584,-0.0115
2,8,prox,0.0011465550000000003,-0.019918584,-0.0115
2,8,dist,0.029661330999999996,-0.019918584,-0.0115
3,1,prox,0.007275,0.019986999999999998,-0.0115
3,1,dist,0.035789,0.019986999999999998,-0.0115
3,2,prox,0.007275,0.019986999999999998,0.0115
3,2,dist,0.035789,0.019986999999999998,0.0115
3,11,prox,0.007275,-0.019986999999999998,-0.0115
3,11,dist,0.035789,-0.019986999999999998,-0.0115
3,12,prox,0.007275,-0.019986999999999998,0.0115
3,12,dist,0.035789,-0.019986999999999998,0.0115
3,3,prox,0.005944311,0.016263456000000003,-0.016263456000000003
3,3,dist,0.034080585999999996,0.016263456000000003,-0.016263456000000003
3,4,prox,0.005944311,0.016263456000000003,0.016263456000000003
3,4,dist,0.034080585999999996,0.016263456000000003,0.016263456000000003
3,9,prox,0.005944311,-0.016263456000000003,-0.016263456000000003
3,9,dist,0.034080585999999996,-0.016263456000000003,-0.016263456000000003
3,10,prox,0.005944311,-0.016263456000000003,0.016263456000000003
3,10,dist,0.034080585999999996,-0.016263456000000003,0.016263456000000003
3,5,prox,0.004210555,0.0115,-0.019918584
3,5,dist,0.032725330999999996,0.0115,-0.019918584
3,6,prox,0.004210555,0.0115,0.019918584
3,6,dist,0.032725330999999996,0.0115,0.019918584
3,7,prox,0.004210555,-0.0115,-0.019918584
3,7,dist,0.032725330999999996,-0.0115,-0.019918584
3,8,prox,0.004210555,-0.0115,0.019918584
3,8,dist,0.032725330999999996,-0.0115,0.019918584
4,1,prox,0.004211,0.011568,0.019919
4,1,dist,0.032725000000000004,0.011568,0.019919
4,2,prox,0.004211,-0.011568,0.019919
4,2,dist,0.032725000000000004,-0.011568,0.019919
4,11,prox,0.004211,0.011568,-0.019919
4,11,dist,0.032725000000000004,0.011568,-0.019919
4,12,prox,0.004211,-0.011568,-0.019919
4,12,dist,0.032725000000000004,-0.011568,-0.019919
4,3,prox,0.002880311,0.016263456000000003,0.016263456000000003
4,3,dist,0.031016585999999995,0.016263456000000003,0.016263456000000003
4,4,prox,0.002880311,-0.016263456000000003,0.016263456000000003
4,4,dist,0.031016585999999995,-0.016263456000000003,0.016263456000000003
4,9,prox,0.002880311,0.016263456000000003,-0.016263456000000003
4,9,dist,0.031016585999999995,0.016263456000000003,-0.016263456000000003
4,10,prox,0.002880311,-0.016263456000000003,-0.016263456000000003
4,10,dist,0.031016585999999995,-0.016263456000000003,-0.016263456000000003
