disk_idx,E_pa,Iz_m4
1,40000000000.0,1e-10
2,40000000000.0,1e-10
3,40000000000.0,1e-10
4,40000000000.0,1e-10
5,40000000000.0,1e-10
6,40000000000.0,1e-10
7,40000000000.0,1e-10
8,40000000000.0,1e-10
9,40000000000.0,1e-10
10,40000000000.0,1e-10
11,40000000000.0,1e-10
12,40000000000.0,1e-10
13,40000000000.0,1e-10
14,40000000000.0,1e-10
15,40000000000.0,1e-10
16,40000000000.0,1e-10
17,40000000000.0,1e-10
18,40000000000.0,1e-10
19,40000000000.0,1e-10
20,40000000000.0,1e-10
21,40000000000.0,1e-10
22,40000000000.0,1e-10
23,40000000000.0,1e-10
24,40000000000.0,1e-10
25,40000000000.0,1e-10
26,40000000000.0,1e-10
27,40000000000.0,1e-10
28,40000000000.0,1e-10
29,40000000000.0,1e-10
30,40000000000.0,1e-10
