disk_idx,E_pa,Iz_m4
1,40000000000.0,1.2867963509103796e-12
2,40000000000.0,1.2867963509103796e-12
3,40000000000.0,1.2867963509103796e-12
4,40000000000.0,1.2867963509103796e-12
5,40000000000.0,1.2867963509103796e-12
6,40000000000.0,1.2867963509103796e-12
7,40000000000.0,1.2867963509103796e-12
8,40000000000.0,1.2867963509103796e-12
9,40000000000.0,1.2867963509103796e-12
10,40000000000.0,1.2867963509103796e-12
11,40000000000.0,1.2867963509103796e-12
12,40000000000.0,1.2867963509103796e-12
13,40000000000.0,1.2867963509103796e-12
14,40000000000.0,1.2867963509103796e-12
15,40000000000.0,1.2867963509103796e-12
16,40000000000.0,1.2867963509103796e-12
17,40000000000.0,1.2867963509103796e-12
18,40000000000.0,1.2867963509103796e-12
19,40000000000.0,1.2867963509103796e-12
20,40000000000.0,1.2867963509103796e-12
21,40000000000.0,1.2867963509103796e-12
22,40000000000.0,1.2867963509103796e-12
23,40000000000.0,1.2867963509103796e-12
24,40000000000.0,1.2867963509103796e-12
25,40000000000.0,1.2867963509103796e-12
26,40000000000.0,1.2867963509103796e-12
27,40000000000.0,1.2867963509103796e-12
28,40000000000.0,1.2867963509103796e-12
29,40000000000.0,1.2867963509103796e-12
30,40000000000.0,1.2867963509103796e-12
