disk_idx,E_pa,Iz_m4
1,40000000000.0,1.3775556109382607e-09
2,40000000000.0,1.3775556109382607e-09
3,40000000000.0,1.3775556109382607e-09
4,40000000000.0,1.3775556109382607e-09
5,40000000000.0,1.3775556109382607e-09
6,40000000000.0,1.3775556109382607e-09
7,40000000000.0,1.3775556109382607e-09
8,40000000000.0,1.3775556109382607e-09
9,40000000000.0,1.3775556109382607e-09
10,40000000000.0,1.3775556109382607e-09
11,40000000000.0,1.3775556109382607e-09
12,40000000000.0,1.3775556109382607e-09
13,40000000000.0,1.3775556109382607e-09
14,40000000000.0,1.3775556109382607e-09
15,40000000000.0,1.3775556109382607e-09
16,40000000000.0,1.3775556109382607e-09
17,40000000000.0,1.3775556109382607e-09
18,40000000000.0,1.3775556109382607e-09
19,40000000000.0,1.3775556109382607e-09
20,40000000000.0,1.3775556109382607e-09
21,40000000000.0,1.3775556109382607e-09
22,40000000000.0,1.3775556109382607e-09
23,40000000000.0,1.3775556109382607e-09
24,40000000000.0,1.3775556109382607e-09
25,40000000000.0,1.3775556109382607e-09
26,40000000000.0,1.3775556109382607e-09
27,40000000000.0,1.3775556109382607e-09
28,40000000000.0,1.3775556109382607e-09
29,40000000000.0,1.3775556109382607e-09
30,40000000000.0,1.3775556109382607e-09
