arm,split,region,count,worse_gt1mm,worse_gt10mm,improved_gt1mm,max_regression_mm
anchored_20260925,test,all,8272,75,34,8089,110.72517349277886
anchored_20260925,test,core,71,0,0,71,-52.381222144374654
anchored_20260925,test,transition,1139,6,5,1129,22.907801891276712
anchored_20260925,test,tip,100,0,0,98,-0.45992084951961587
anchored_20260925,test,outer,4187,45,20,4084,110.72517349277886
anchored_20260925,train,all,58629,567,180,57340,131.0929488950921
anchored_20260925,train,core,417,0,0,417,-35.49117642200848
anchored_20260925,train,transition,5726,6,1,5702,12.844957516187627
anchored_20260925,train,tip,1182,1,0,1180,1.6818195733342325
anchored_20260925,train,outer,35986,280,94,35248,131.0929488950921
anchored_20260925,validation,all,7795,78,28,7636,58.44003841252961
anchored_20260925,validation,core,38,0,0,38,-42.73379905500776
anchored_20260925,validation,transition,634,0,0,633,-0.7323929777008644
anchored_20260925,validation,tip,109,0,0,109,-3.8402289276693162
anchored_20260925,validation,outer,4553,26,8,4474,58.44003841252961
anchored_20260926,test,all,8272,115,57,8032,77.58711970703379
anchored_20260926,test,core,71,0,0,71,-52.82697417917381
anchored_20260926,test,transition,1139,13,10,1123,52.36534168522496
anchored_20260926,test,tip,100,0,0,100,-1.1842876960356374
anchored_20260926,test,outer,4187,30,8,4099,77.58711970703379
anchored_20260926,train,all,58629,536,134,57376,68.27863214012433
anchored_20260926,train,core,417,0,0,417,-36.82761668911634
anchored_20260926,train,transition,5726,51,26,5650,54.45845177675739
anchored_20260926,train,tip,1182,1,0,1179,1.5904171262511233
anchored_20260926,train,outer,35986,244,19,35327,62.495287826209136
anchored_20260926,validation,all,7795,82,47,7621,92.22941676653986
anchored_20260926,validation,core,38,0,0,38,-43.14724900568395
anchored_20260926,validation,transition,634,12,9,619,60.75179569023557
anchored_20260926,validation,tip,109,0,0,109,-3.3919553963723565
anchored_20260926,validation,outer,4553,19,9,4494,92.22941676653986
