arm,group,split,case,count,finite_count,nonfinite_count,p50_mm,p95_mm,p99_mm,max_mm,within_3mm,within_10mm,bounds_violations,centroid_dx_mm,centroid_dy_mm,centroid_dz_mm,centered_rms_scale_ratio,plane_p95_mm,beta_step_max_deg,beta_step_gt7deg_rate,endpoint_beta_gap_deg
control_20260925,on_grid,test,all,8272,8272,0,2.9558915116927453,9.833337219126788,20.41112850681989,125.64836436917584,0.5102756286266924,0.9512814313346228,0,,,,,,,,
control_20260925,on_grid,test,core,71,71,0,0.8951582739870931,2.0477421007634593,3.190724320750916,3.931382783834747,0.9859154929577465,1.0,0,,,,,,,,
control_20260925,on_grid,test,transition,1139,1139,0,1.979384621207965,9.838445548896411,28.70769818569889,59.303928873730634,0.7708516242317822,0.9508340649692713,0,,,,,,,,
control_20260925,on_grid,test,tip,100,100,0,3.1545980539580047,6.404468276823312,7.3791050660081545,7.77144865947134,0.48,1.0,0,,,,,,,,
control_20260925,on_grid,test,outer,4187,4187,0,3.2999696329087143,8.965100792012699,19.050647211309418,125.64836436917584,0.429902077860043,0.960114640554096,0,,,,,,,,
control_20260925,on_grid,train,all,58629,58629,0,3.0472155471708096,9.088356290641704,18.217915213294805,141.10242636171208,0.4893994439611796,0.9595422060754917,0,,,,,,,,
control_20260925,on_grid,train,core,417,417,0,1.0641138839483752,2.5777249595546508,3.530693297210237,4.256112507641166,0.9808153477218226,1.0,0,,,,,,,,
control_20260925,on_grid,train,transition,5726,5726,0,1.9197417430734243,5.988135364558282,17.730460673037236,55.53416705654354,0.7748864827104436,0.9758994062172547,0,,,,,,,,
control_20260925,on_grid,train,tip,1182,1182,0,2.739220686085221,7.0251072245655175,8.175461843861392,8.641202711437574,0.5414551607445008,1.0,0,,,,,,,,
control_20260925,on_grid,train,outer,35986,35986,0,3.3078547651690053,8.582948480378445,16.8463039173733,141.10242636171208,0.42513755349302507,0.965708886789307,0,,,,,,,,
control_20260925,on_grid,validation,all,7795,7795,0,3.1260202016043745,10.169518373258567,20.7308256644851,79.68625897156663,0.4708146247594612,0.9475304682488774,0,,,,,,,,
control_20260925,on_grid,validation,core,38,38,0,0.7741075997727037,1.4697378740358484,1.6942625150266213,1.8257204477534479,1.0,1.0,0,,,,,,,,
control_20260925,on_grid,validation,transition,634,634,0,1.7126920526013414,5.3161145515645085,12.861192613148761,47.88259852902948,0.7697160883280757,0.9858044164037855,0,,,,,,,,
control_20260925,on_grid,validation,tip,109,109,0,3.482799045983778,8.190083521055566,8.51054439120323,8.690386184335072,0.3944954128440367,1.0,0,,,,,,,,
control_20260925,on_grid,validation,outer,4553,4553,0,3.3429033312114362,9.40826145681643,16.273562898696756,79.68625897156663,0.41972325938941357,0.9560729189545355,0,,,,,,,,
