arm,seed,subset,count,finite_count,nonfinite_count,p50_mm,p95_mm,p99_mm,max_mm,within_3mm,within_10mm,gt50,gt100,fixed_control_gt50,new_gt50,regression_gt10,small_paths_retained
control,20260925,all,8272,8272,0,2.9558915116927453,9.833337219126788,20.41112850681989,125.64836436917584,0.5102756286266924,0.9512814313346228,27,6,0,0,0,True
control,20260925,mixed_k32,1111,1111,0,3.2398574729330893,15.755861564020167,68.63190615307687,125.64836436917584,0.43114311431143115,0.90999099909991,22,4,0,0,0,True
control,20260925,single_domain,7161,7161,0,2.911547090662358,9.272171132210827,16.41015060763249,116.85898134258454,0.5225527161011032,0.9576874738165061,5,2,0,0,0,True
control,20260925,junction_5mm,99,99,0,3.161301244093112,41.40844579006739,74.4161690684902,91.09533370044134,0.43434343434343436,0.898989898989899,5,0,0,0,0,True
control,20260925,junction_10mm,341,341,0,3.2274878776348794,19.132585575836924,67.99076974957975,102.90288418006443,0.4046920821114369,0.8944281524926686,8,1,0,0,0,True
control,20260925,junction_20mm,760,760,0,3.22774860674142,15.808038496631902,67.62054564963307,104.08394640873867,0.4276315789473684,0.9105263157894737,15,2,0,0,0,True
junction,20260925,all,8272,8272,0,3.0850340494410977,9.668843716059367,16.364785648100337,83.44484327635463,0.48416344294003866,0.9546663442940039,9,0,27,9,42,False
junction,20260925,mixed_k32,1111,1111,0,2.925536369351174,10.53490721376303,20.95899761638015,81.90364546067595,0.5175517551755175,0.9396939693969397,3,0,22,3,9,False
junction,20260925,single_domain,7161,7161,0,3.1132288697438253,9.534972647172374,15.730413078783593,83.44484327635463,0.4789833822091887,0.956989247311828,6,0,5,6,33,False
junction,20260925,junction_5mm,99,99,0,2.7128906247718394,9.26309735624377,28.949383610380387,34.52960370792369,0.5454545454545454,0.9494949494949495,0,0,5,0,0,False
junction,20260925,junction_10mm,341,341,0,2.824489759105016,10.548867817093475,25.856607831132635,80.16379903080615,0.5219941348973607,0.9384164222873901,1,0,8,1,2,False
junction,20260925,junction_20mm,760,760,0,2.904959829675547,10.244500304815057,31.170083445116838,83.44484327635463,0.5184210526315789,0.9434210526315789,4,0,15,4,9,False
task_only,20260925,all,8272,8272,0,2.860073790526875,10.13819106764754,19.726517083312277,132.38859211710164,0.534453578336557,0.9486218568665378,24,6,4,1,33,True
task_only,20260925,mixed_k32,1111,1111,0,2.9647786203032815,17.687243871026308,63.12807415327457,128.05383865484853,0.5103510351035103,0.8928892889288929,19,4,4,1,15,True
task_only,20260925,single_domain,7161,7161,0,2.842604359863835,9.294114198628423,15.965314564461595,132.38859211710164,0.538192989805893,0.9572685379136993,5,2,0,0,18,True
task_only,20260925,junction_5mm,99,99,0,2.6152068099334422,26.367031820613015,55.94700435658249,82.61995184485086,0.5858585858585859,0.8686868686868687,3,0,2,0,0,True
task_only,20260925,junction_10mm,341,341,0,2.9107205140637924,19.270492118126985,54.970730048097856,94.04333524557661,0.530791788856305,0.8768328445747801,5,0,3,0,3,True
task_only,20260925,junction_20mm,760,760,0,2.890510500118049,17.262128901968392,55.41383919119597,94.04333524557661,0.5368421052631579,0.8960526315789473,12,0,4,1,7,True
junction_task_only,20260925,all,8272,8272,0,3.0372281880630005,9.54942853834847,16.060360144441344,83.91374231460718,0.4920212765957447,0.9550290135396519,9,0,27,9,45,False
junction_task_only,20260925,mixed_k32,1111,1111,0,2.8734003672325987,10.264139413820686,20.339916987002898,75.69220272670317,0.5310531053105311,0.9486948694869487,3,0,22,3,10,False
junction_task_only,20260925,single_domain,7161,7161,0,3.0632062346747366,9.408736042380657,15.661300015690097,83.91374231460718,0.48596564725596986,0.9560117302052786,6,0,5,6,35,False
